Dataset ,Classifier,Cost Function,M ,Train/Test, Hamming-Loss, Accuracy, Execution Time
scene-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Train,5.505092210294523E-4,0.9966969446738233,8.75100
scene-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Test,0.10130992196209623,0.5183946488294314,8.75100
medical-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Train,8.580008580008579E-4,0.993993993993994,6.66900
medical-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Test,0.032558139534883665,0.772093023255814,6.66900
genbase-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Train,0.0,1.0,3.85400
genbase-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Test,0.0,1.0,3.85400
flags-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Train,0.005537098560354374,0.9689922480620154,0.28700
flags-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Test,0.32967032967032955,0.1384615384615384,0.28700
enron-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Train,0.006233303650935,0.9590382902938558,15.76400
enron-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Test,0.05995558845299772,0.6217616580310881,15.76400
emotions-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Train,0.0068201193520886615,0.9616368286445013,1.14700
emotions-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Test,0.21452145214521456,0.25742574257425743,1.14700
birds-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Train,0.0020703933747412005,0.9906832298136646,0.63500
birds-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,2,Test,0.039215686274509776,0.7894736842105263,0.63500
yeast-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Train,0.006888888888888885,0.96,10.56900
yeast-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Test,0.2971646673936757,0.2606324972737186,10.56900
scene-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Train,0.0016515276630883566,0.9900908340214699,6.14100
scene-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Test,0.10284280936454893,0.49916387959866215,6.14100
medical-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Train,0.0,1.0,4.21300
medical-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Test,0.02812846068660018,0.8031007751937984,4.21300
genbase-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Train,0.0,1.0,3.29200
genbase-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Test,0.0,1.0,3.29200
flags-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Train,0.007751937984496122,0.9534883720930233,0.20600
flags-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Test,0.3098901098901099,0.1384615384615384,0.20600
enron-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Train,0.005597252257982448,0.96260017809439,13.22700
